2020-02-12 13:49:23,050;modules.temperature;25.4
2020-02-12 13:49:26,132;modules.temperature;25.4
2020-02-15 12:49:56,863;modules.temperature;22.3
2020-02-15 12:49:59,948;modules.temperature;24.4
2020-02-15 12:50:03,030;modules.temperature;24.3
2020-02-15 12:52:56,640;modules.temperature;24.3
2020-02-15 12:52:59,723;modules.temperature;24.5
2020-02-15 12:53:08,966;modules.temperature;24.4
2020-02-15 12:58:29,232;modules.temperature;24.4
2020-02-15 12:58:35,396;modules.temperature;24.8
2020-02-15 12:59:12,082;modules.temperature;24.8
2020-02-15 12:59:15,164;modules.temperature;24.8
2020-02-15 12:59:24,408;modules.temperature;24.8
2020-02-15 13:00:07,997;modules.temperature;24.8
2020-02-15 13:02:28,893;modules.temperature;24.8
2020-02-15 13:02:38,137;modules.temperature;24.8
2020-02-15 13:02:41,219;modules.temperature;24.8
2020-02-15 13:02:44,300;modules.temperature;24.8
2020-02-15 13:02:47,383;modules.temperature;24.8
2020-02-15 13:06:11,551;modules.temperature;24.8
2020-02-15 13:06:14,633;modules.temperature;24.9
2020-02-15 13:06:20,797;modules.temperature;24.9
2020-02-15 13:06:23,879;modules.temperature;24.9
2020-02-15 13:07:47,374;modules.temperature;24.9
2020-02-15 13:07:56,616;modules.temperature;25.0
2020-02-15 13:07:59,699;modules.temperature;25.0
2020-02-15 13:08:02,781;modules.temperature;24.9
2020-02-15 13:08:05,863;modules.temperature;25.0
2020-02-15 13:08:58,318;modules.temperature;25.0
2020-02-15 13:11:11,572;modules.temperature;25.0
2020-02-15 13:11:44,317;modules.temperature;25.1
2020-02-15 13:14:05,085;modules.temperature;25.1
2020-02-15 13:17:28,968;modules.temperature;25.1
2020-02-15 13:19:06,017;modules.temperature;25.2
2020-02-15 13:19:12,181;modules.temperature;25.2
2020-02-15 13:19:15,263;modules.temperature;25.2
2020-02-15 13:19:52,639;modules.temperature;25.2
2020-02-15 13:19:55,722;modules.temperature;25.2
2020-02-15 13:22:06,400;modules.temperature;25.2
2020-02-15 13:22:41,387;modules.temperature;25.3
2020-02-15 13:22:44,469;modules.temperature;25.3
2020-02-15 13:22:47,551;modules.temperature;25.3
2020-02-15 13:22:53,714;modules.temperature;25.3
2020-02-15 13:23:30,108;modules.temperature;25.3
2020-02-15 13:26:17,111;modules.temperature;25.4
2020-02-15 13:27:33,139;modules.temperature;25.4
2020-02-15 13:30:17,492;modules.temperature;25.5
2020-02-15 13:30:57,113;modules.temperature;25.5
2020-02-15 13:53:41,313;modules.temperature;25.4
2020-02-15 14:07:17,803;modules.temperature;24.2
2020-02-15 14:07:20,886;modules.temperature;24.3
2020-02-15 14:07:23,968;modules.temperature;24.3
2020-02-15 14:08:24,285;modules.temperature;24.3
2020-02-15 14:08:30,448;modules.temperature;24.3
2020-02-15 14:08:33,527;modules.temperature;24.3
2020-02-15 14:08:36,609;modules.temperature;24.3
2020-02-15 14:08:39,690;modules.temperature;24.3
2020-02-15 14:08:42,771;modules.temperature;24.3
2020-02-15 14:09:20,797;modules.temperature;24.3
2020-02-15 14:09:23,879;modules.temperature;24.3
2020-02-15 14:09:26,960;modules.temperature;24.3
2020-02-15 14:09:36,203;modules.temperature;24.3
2020-02-15 14:09:39,284;modules.temperature;24.4
2020-02-15 14:10:39,869;modules.temperature;24.3
2020-02-15 14:10:42,950;modules.temperature;24.4
2020-02-15 14:10:46,032;modules.temperature;24.4
2020-02-15 14:10:49,113;modules.temperature;24.4
2020-02-15 14:10:52,193;modules.temperature;24.4
2020-02-15 14:11:01,435;modules.temperature;24.4
2020-02-15 14:11:54,826;modules.temperature;24.4
2020-02-15 14:11:57,908;modules.temperature;24.5
2020-02-15 14:12:00,990;modules.temperature;24.5
2020-02-15 14:12:04,071;modules.temperature;24.5
2020-02-15 14:13:30,078;modules.temperature;24.4
2020-02-15 14:13:33,159;modules.temperature;24.5
2020-02-15 14:13:36,240;modules.temperature;24.5
2020-02-15 14:13:39,322;modules.temperature;24.4
2020-02-15 14:13:42,403;modules.temperature;24.5
2020-02-15 14:14:35,806;modules.temperature;24.5
2020-02-15 14:14:38,887;modules.temperature;24.5
2020-02-15 14:14:41,969;modules.temperature;24.5
2020-02-15 14:28:32,845;modules.temperature;24.7
2020-02-15 14:28:35,927;modules.temperature;24.7
2020-02-15 14:28:39,009;modules.temperature;24.7
2020-02-15 14:28:42,090;modules.temperature;24.7
2020-02-15 14:28:45,172;modules.temperature;24.7
2020-02-15 14:28:48,254;modules.temperature;24.7
2020-02-15 14:28:57,498;modules.temperature;24.7
2020-02-15 14:29:00,579;modules.temperature;24.7
2020-02-15 14:29:03,661;modules.temperature;24.7
2020-02-15 14:29:06,743;modules.temperature;24.7
2020-02-15 14:29:19,067;modules.temperature;24.7
2020-02-15 14:39:22,735;modules.temperature;24.7
2020-02-15 14:39:25,822;modules.temperature;24.7
2020-02-15 14:39:28,904;modules.temperature;24.6
2020-02-15 14:41:02,600;modules.temperature;24.7
2020-02-15 14:41:05,683;modules.temperature;24.7
2020-02-15 14:41:17,574;modules.temperature;24.7
2020-02-15 14:41:20,656;modules.temperature;24.7
2020-02-15 14:41:26,819;modules.temperature;24.6
2020-02-15 14:41:29,900;modules.temperature;24.7
2020-02-15 14:41:32,982;modules.temperature;24.7
2020-02-15 14:41:36,063;modules.temperature;24.7
2020-02-15 14:41:45,306;modules.temperature;24.7
2020-02-15 14:44:59,613;modules.temperature;24.7
2020-02-15 14:45:05,776;modules.temperature;24.7
2020-02-15 14:45:11,938;modules.temperature;24.7
2020-02-15 14:45:15,019;modules.temperature;24.7
2020-02-15 14:45:18,101;modules.temperature;24.7
2020-02-15 14:45:21,183;modules.temperature;24.7
2020-02-15 14:45:24,264;modules.temperature;24.7
2020-02-15 14:45:27,346;modules.temperature;24.7
2020-02-15 14:45:30,427;modules.temperature;24.7
2020-02-15 14:46:09,569;modules.temperature;24.7
2020-02-15 14:46:15,732;modules.temperature;24.7
2020-02-15 14:46:18,813;modules.temperature;24.7
2020-02-15 14:46:21,895;modules.temperature;24.7
2020-02-15 14:46:28,057;modules.temperature;24.7
2020-02-15 14:46:34,218;modules.temperature;24.8
2020-02-15 14:46:37,299;modules.temperature;24.8
2020-02-15 14:47:25,827;modules.temperature;24.7
2020-02-15 14:47:28,908;modules.temperature;24.8
